GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ar.edu.unq siete-lotos,ar.edu.unq.modelo,Settings,39,0,0,0,4,0,6,0,6,0
ar.edu.unq siete-lotos,ar.edu.unq.modelo,BuscadorProductos.filtrar..inlined.sortedByDescending.new Comparator() {...},0,30,0,0,0,3,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.modelo,BuscadorProductos.cantidadDeItemsContenidasEnTexto.aMin.new Function1() {...},0,13,0,0,0,1,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.modelo,BuscadorProductos,1,344,2,24,0,37,2,16,0,5
ar.edu.unq siete-lotos,ar.edu.unq.modelo,Proveedor,0,180,0,0,0,19,0,18,0,18
ar.edu.unq siete-lotos,ar.edu.unq.modelo,ModelObjectWithBsonId,0,63,0,8,0,8,0,10,0,6
ar.edu.unq siete-lotos,ar.edu.unq.modelo,Admin,0,50,0,0,0,5,0,6,0,6
ar.edu.unq siete-lotos,ar.edu.unq.modelo,Producto,0,235,0,0,0,35,0,33,0,33
ar.edu.unq siete-lotos,ar.edu.unq.modelo,Payment,0,78,0,0,0,14,0,2,0,2
ar.edu.unq siete-lotos,ar.edu.unq.modelo,Usuario,0,60,0,0,0,7,0,8,0,8
ar.edu.unq siete-lotos,ar.edu.unq.modelo,BuscadorProductos.filtrar..inlined.sortedBy.new Comparator() {...},0,28,0,0,0,3,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.modelo,BuscadorProductos.cantidadDeItemsContenidasEnTexto.containsText.new Function1() {...},0,13,0,0,0,1,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.dao.mongodb,MongoSettingsDAOImpl,4,0,0,0,1,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq.dao.mongodb,MongoAdminDAOImpl,0,4,0,0,0,1,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.dao.mongodb,MongoProveedorDAOImpl,0,4,0,0,0,1,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.dao.mongodb,MongoBannerDAOImpl,0,4,0,0,0,1,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.dao.mongodb,GenericMongoDAO,0,247,0,2,0,33,0,18,0,17
ar.edu.unq siete-lotos,ar.edu.unq.dao.mongodb,MongoUsuarioDAOImpl,0,4,0,0,0,1,0,1,0,1
ar.edu.unq siete-lotos,ar.edu.unq.dao.mongodb,MongoProductoDAOImpl,8,441,5,21,0,44,5,18,0,10
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.5.new EndpointGroup() {...},39,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.5.new EndpointGroup() {...},29,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.5.new EndpointGroup() {...},29,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.app.new Consumer() {...},13,0,0,0,4,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.8.new EndpointGroup() {...},29,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.new Handler() {...},14,0,0,0,3,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.new EndpointGroup() {...},64,0,0,0,10,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},28,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},67,0,0,0,4,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},88,0,0,0,7,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},88,0,0,0,7,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},81,0,0,0,6,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},33,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},30,0,0,0,3,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},23,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.new EndpointGroup() {...},28,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.7.new EndpointGroup() {...},34,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.3.new EndpointGroup() {...},24,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.7.new EndpointGroup() {...},29,0,0,0,2,0,1,0,1,0
ar.edu.unq siete-lotos,ar.edu.unq,ConextAPIKt.main.2.7.new EndpointGroup() {...},90,0,0,0,4,0,1,0,1,0
